assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
194553882,22718739,Ploceus batesi,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PLOCEIDAE,Ploceus,batesi,,,,"(Sharpe, 1908)",Endangered,C2a(i),3.1,Decreasing,Global
194673255,22678576,Macrocephalon maleo,ANIMALIA,CHORDATA,GALLIFORMES,AVES,MEGAPODIIDAE,Macrocephalon,maleo,,,,"Müller, 1846",Critically Endangered,A2cd+4cd,3.1,Decreasing,Global
194804000,22692556,Laterallus rogersi,ANIMALIA,CHORDATA,GRUIFORMES,AVES,RALLIDAE,Laterallus,rogersi,,,,"(Lowe, 1923)",Vulnerable,D2,3.1,Stable,Global
194884811,22692654,Zapornia olivieri,ANIMALIA,CHORDATA,GRUIFORMES,AVES,RALLIDAE,Zapornia,olivieri,,,,"(Grandidier & Berlioz, 1929)",Endangered,C2a(i),3.1,Decreasing,Global
195043485,22685966,Brotogeris pyrrhoptera,ANIMALIA,CHORDATA,PSITTACIFORMES,AVES,PSITTACIDAE,Brotogeris,pyrrhoptera,,,,"(Latham, 1801)",Vulnerable,A2cd+3cd+4cd,3.1,Decreasing,Global
195129158,22692866,Gallinula comeri,ANIMALIA,CHORDATA,GRUIFORMES,AVES,RALLIDAE,Gallinula,comeri,,,,"(Allen, 1892)",Vulnerable,D2,3.1,Stable,Global
195133155,22678632,Eulipoa wallacei,ANIMALIA,CHORDATA,GALLIFORMES,AVES,MEGAPODIIDAE,Eulipoa,wallacei,,,,"(Gray, 1860)",Vulnerable,A2cd+3cd+4cd,3.1,Decreasing,Global
195143700,22714468,Bradypterus graueri,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,LOCUSTELLIDAE,Bradypterus,graueri,,,,"Neumann, 1908",Vulnerable,A3c+4c,3.1,Decreasing,Global
195201742,169876,Trimeresurus mcgregori,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,VIPERIDAE,Trimeresurus,mcgregori,,,,"Taylor, 1919",Endangered,B1ab(v)+2ab(v),3.1,Decreasing,Global
195225376,22698719,Pseudocalyptomena graueri,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,EURYLAIMIDAE,Pseudocalyptomena,graueri,,,,"Rothschild, 1909",Vulnerable,A3c+4c,3.1,Decreasing,Global
195296049,54940655,Ovis vignei,ANIMALIA,CHORDATA,ARTIODACTYLA,MAMMALIA,BOVIDAE,Ovis,vignei,,,,"Blyth, 1841",Vulnerable,A2bcde,3.1,Decreasing,Global
195329192,22686163,Hapalopsittaca fuertesi,ANIMALIA,CHORDATA,PSITTACIFORMES,AVES,PSITTACIDAE,Hapalopsittaca,fuertesi,,,,"(Chapman, 1912)",Endangered,B1ab(iii); D,3.1,Increasing,Global
195335202,22678583,Megapodius nicobariensis,ANIMALIA,CHORDATA,GALLIFORMES,AVES,MEGAPODIIDAE,Megapodius,nicobariensis,,,,"Blyth, 1846",Vulnerable,A1bc; D1,3.1,Stable,Global
195362316,169829,Varanus mabitang,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,VARANIDAE,Varanus,mabitang,,,,"Gaulke &amp; Curio, 2001",Endangered,"B1ab(iii,v)+2ab(iii,v)",3.1,Decreasing,Global
195370322,175648870,Presbytis hosei,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Presbytis,hosei,,,,"(Thomas, 1889)",Vulnerable,A2cd+3cd,3.1,Decreasing,Global
195372486,14352,Nasalis larvatus,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Nasalis,larvatus,,,,"(Wurmb, 1787)",Endangered,A2acd+4acd,3.1,Decreasing,Global
195387110,221496930,Varanus olivaceus,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,VARANIDAE,Varanus,olivaceus,,,,"Hallowell, 1859",Vulnerable,"B1ab(iii,v)",3.1,Decreasing,Global
195402738,58868,Pseudophilautus macropus,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,RHACOPHORIDAE,Pseudophilautus,macropus,,,,"(Günther, 1869)",Endangered,B1ab(iii),3.1,Decreasing,Global
195438398,22678593,Megapodius bernsteinii,ANIMALIA,CHORDATA,GALLIFORMES,AVES,MEGAPODIIDAE,Megapodius,bernsteinii,,,,"Schlegel, 1866",Vulnerable,A2cde+3cde+4cde,3.1,Decreasing,Global
195439337,22717941,Cinnyris rockefelleri,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,NECTARINIIDAE,Cinnyris,rockefelleri,,,,"Chapin, 1932",Vulnerable,C2a(i),3.1,Decreasing,Global
195447344,22685860,Pyrrhura albipectus,ANIMALIA,CHORDATA,PSITTACIFORMES,AVES,PSITTACIDAE,Pyrrhura,albipectus,,,,"Chapman, 1914",Vulnerable,"B1ab(ii,iii,v)",3.1,Decreasing,Global
195449366,22709249,Fraseria lendu,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MUSCICAPIDAE,Fraseria,lendu,,,,"(Chapin, 1932)",Vulnerable,C2a(i),3.1,Decreasing,Global
195586662,195586657,Leucostethus bilsa,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,DENDROBATIDAE,Leucostethus,bilsa,,,,"Vigle, Coloma, Santos, Hernandez-Nieto, Ortega-Andrade, Paluh &amp; Read, 2020",Critically Endangered,B1ab(iii),3.1,Decreasing,Global
195588745,195588568,Atlantihyla melissa,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,HYLIDAE,Atlantihyla,melissa,,,,"Townsend, Herrera-B., Hofmann, Luque-Montes, Ross, Dudek, Krygeris, Duchamp &amp; Wilson, 2020",Critically Endangered,B1ab(iii),3.1,Decreasing,Global
195589130,195588835,Atlantihyla spinipollex,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,HYLIDAE,Atlantihyla,spinipollex,,,,"(Schmidt, 1936)",Endangered,B1ab(iii),3.1,Decreasing,Global
195859393,45014473,Goura scheepmakeri,ANIMALIA,CHORDATA,COLUMBIFORMES,AVES,COLUMBIDAE,Goura,scheepmakeri,,,,"Finsch, 1876",Vulnerable,C2a(ii),3.1,Decreasing,Global
195940041,195897278,Centrolene sanchezi,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CENTROLENIDAE,Centrolene,sanchezi,,,,"Ruiz-Carranza &amp; Lynch, 1991",Endangered,B2ab(iii),3.1,Decreasing,Global
195995295,4082,Cebus cesarae,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CEBIDAE,Cebus,cesarae,,,,"Hershkovitz, 1949",Endangered,A4cd,3.1,Decreasing,Global
196138291,39828,Pygathrix nigripes,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Pygathrix,nigripes,,,,"(Milne-Edwards, 1871)",Critically Endangered,A2acd+3cd,3.1,Decreasing,Global
196139355,40789,Trachypithecus hatinhensis,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Trachypithecus,hatinhensis,,,,"(Dao, 1970)",Endangered,A2cd,3.1,Decreasing,Global
196314602,22680225,Anas melleri,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Anas,melleri,,,,"P.L. Sclater, 1865",Endangered,C2a(ii),3.1,Decreasing,Global
196325582,39849,Trachypithecus mauritius,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Trachypithecus,mauritius,,,,"(Griffith, 1821)",Vulnerable,A2cd,3.1,Decreasing,Global
196344962,196344474,Trachypithecus popa,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Trachypithecus,popa,,,,"Roos, Helgen, Miguez, Thant, Lwin, A.K. Lin, A. Lin, Yi, Soe, Hein, Myint, Ahmed, Chetry, Urh, Veatch, Duncan, Kamminga, Chua, Yao, Matauschek, Meyer, Liu, Li, Nadler, Fan, Quyet, Hofreiter, Zinner &amp; Momberg, 2020",Critically Endangered,A2ac+4ac,3.1,Decreasing,Global
196429566,196429436,Microcebus jonahi,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CHEIROGALEIDAE,Microcebus,jonahi,,,,"Schüßler, Blanco, Salmona, Poelstra, Andriambeloson, Miller, A., Randrianambinina, Rasolofoson, Mantilla-Contreras, Chikhi, Louis Jr., Yoder, &amp; Radespiel, 2020",Endangered,"B1ab(ii,iii,iv,v)",3.1,Decreasing,Global
196436384,22679106,Rollulus rouloul,ANIMALIA,CHORDATA,GALLIFORMES,AVES,PHASIANIDAE,Rollulus,rouloul,,,,"(Scopoli, 1786)",Vulnerable,A2cd+3cd+4cd,3.1,Decreasing,Global
196446398,22693107,Gallinago macrodactyla,ANIMALIA,CHORDATA,CHARADRIIFORMES,AVES,SCOLOPACIDAE,Gallinago,macrodactyla,,,,"Bonaparte, 1839",Vulnerable,A2cd+3cd+4cd,3.1,Decreasing,Global
196465915,136843,Lepilemur ahmansoni,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,LEPILEMURIDAE,Lepilemur,ahmansoni,,,,"Louis Jr., Engberg, Lei, Geng, Sommer, Randriamampionona, Randriamanana, Zaonarivelo, Andriantompohavana, Randria, Prosper, Ramaromilanto, Rakotoarisoa, Rooney &amp; Brenneman, 2006",Critically Endangered,A2c+4c,3.1,Decreasing,Global
196491153,19596,Rhinopithecus roxellana,ANIMALIA,CHORDATA,PRIMATES,MAMMALIA,CERCOPITHECIDAE,Rhinopithecus,roxellana,,,,"(Milne-Edwards, 1870)",Endangered,A2cd+4cd,3.1,Decreasing,Global
196544442,22680252,Anas bernieri,ANIMALIA,CHORDATA,ANSERIFORMES,AVES,ANATIDAE,Anas,bernieri,,,,"(Hartlaub, 1860)",Endangered,C2a(ii),3.1,Decreasing,Global
196567064,22690056,Eleothreptus anomalus,ANIMALIA,CHORDATA,CAPRIMULGIFORMES,AVES,CAPRIMULGIDAE,Eleothreptus,anomalus,,,,"(Gould, 1838)",Vulnerable,A3c+4c,3.1,Decreasing,Global
196567391,22685572,Ara rubrogenys,ANIMALIA,CHORDATA,PSITTACIFORMES,AVES,PSITTACIDAE,Ara,rubrogenys,,,,"Lafresnaye, 1847",Critically Endangered,C1+2a(i),3.1,Decreasing,Global
196574917,22731855,Threskiornis bernieri,ANIMALIA,CHORDATA,PELECANIFORMES,AVES,THRESKIORNITHIDAE,Threskiornis,bernieri,,,,"(Bonaparte, 1855)",Endangered,A2bc+4bc,3.1,Decreasing,Global
196624397,22685542,Ara glaucogularis,ANIMALIA,CHORDATA,PSITTACIFORMES,AVES,PSITTACIDAE,Ara,glaucogularis,,,,"Dabbene, 1921",Critically Endangered,A1abcde,3.1,Stable,Global
196738687,22685593,Primolius couloni,ANIMALIA,CHORDATA,PSITTACIFORMES,AVES,PSITTACIDAE,Primolius,couloni,,,,"(P.L. Sclater, 1876)",Vulnerable,C2a(ii),3.1,Decreasing,Global
