internalTaxonId,scientificName,name,language,main
19562,Rhinolophus rex,Guizhou Jutoufu,Chinese,false
19562,Rhinolophus rex,King Horseshoe Bat,English,true
136587,Pteralopex flanneryi,Greater Monkey-faced Bat,English,true
136586,Hipposideros scutinares,Shield-nosed Leaf-nosed Bat,English,true
19751,Rousettus spinalatus,Bare-backed Rousette,English,true
19749,Boneia bidens,Manado Fruit-bat,English,false
19749,Boneia bidens,Manado Fruit Bat,English,false
19749,Boneia bidens,Manado Rousette,English,true
19750,Rousettus madagascariensis,Madagascar Rousette,English,false
19750,Rousettus madagascariensis,Madagascan Rousette,English,true
15009,Nyctophilus sherrini,Tasmanian Long-eared Bat,English,true
19683,Rhogeessa mira,Least Yellow Bat,English,true
19682,Rhogeessa minutilla,Tiny Yellow Bat,English,true
14960,Nyctimene varius,Lesser Tube-nosed Bat,English,false
14960,Nyctimene varius,Lesser Tube-nosed Fruit Bat,English,true
136192,Hipposideros orbiculus,Orbiculus Roundleaf Bat,English,false
136192,Hipposideros orbiculus,Orbiculus Leaf-nosed Bat,English,true
14953,Nyctimene rabori,Philippine Tube-nosed Fruit Bat,English,true
136209,Pipistrellus hanaki,Hanak's Pipistrelle,English,false
136209,Pipistrellus hanaki,Hanaks Zwergfledermaus,German,false
136209,Pipistrellus hanaki,Pipistrelle de Libye,French,false
136209,Pipistrellus hanaki,Hanák's Pipistrelle,English,true
136356,Dyacopterus brooksi,Brooks’s Dyak Fruit Bat,English,true
84891540,Pteropus capistratus,New Britain Flying Fox,English,false
84891540,Pteropus capistratus,New Britain Masked Flying Fox,English,true
14932,Nycteris javanica,Javan Slit-faced Bat,English,true
136397,Pteropus cognatus,Makira Flying Fox,English,true
14918,Nyctalus lasiopterus,Greater Noctule Bat,English,false
14918,Nyctalus lasiopterus,Grande noctule,French,false
14918,Nyctalus lasiopterus,Nóctulo Grande,Spanish; Castilian,false
14918,Nyctalus lasiopterus,Nottola gigante,Italian,false
14918,Nyctalus lasiopterus,Giant Noctule,English,true
136410,Rhinolophus madurensis,Madura Horseshoe Bat,English,true
4320,Mops solomonis,Solomons Mastiff Bat,English,false
4320,Mops solomonis,Salomonen-Bulldoggfledermaus,German,false
4320,Mops solomonis,Solomons Free-tailed Bat,English,true
4318,Mops pusillus,Little free-tailed bat,English,false
4318,Mops pusillus,Tadaride des Seychelles,French,false
4318,Mops pusillus,Seychelles Free-tailed bat,English,true
136306,Lasiurus degelidus,Jamaican Red Bat,English,true
4313,Mops johorensis,Johor-Bulldoggfledermaus,German,false
4313,Mops johorensis,Kelasar Johor,Malay,false
4313,Mops johorensis,Tayo Johor,Indonesian,false
4313,Mops johorensis,Northern Free-tailed Bat,English,true
10982,Phoniscus papuensis,Golden-tipped Bat,English,true
10980,Kerivoula myrella,Bismarck's Trumpet-eared Bat,English,false
